#,Listing ID,St,MLS Area,Address,# Beds,# Full Baths,# Half Baths,# Garage Spaces,Levels,Year Built,Acres,SqFt,List Price,LP$/SqFt,Close$/SqFt,Close Price,Close Date,DOM,CDOM,Zip Code,Type of Home
1,6996515,C,HU,21608 Wilmiller Ln,4,2,1,2.0,2,2021,0.1528,"2,581","$435,000",$168.54,$169.31,"$437,000",03/05/2024,4,4,78660,Single Family
1,1659174,C,PF,808 Whitehall Dr,3,2,0,2.0,1,1996,0.147,"1,299","$275,000",$211.70,$184.76,"$240,000",12/29/2023,8,7,78660,Single Family
1,5349770,C,PF,16131 Stoneham Cir,3,2,0,1.0,1,1984,0.0968,"1,033","$265,000",$256.53,$242.01,"$250,000",11/14/2023,20,20,78660,Single Family
1,7256633,C,PF,17228 Sandwick Dr,3,2,0,2.0,1,1998,0.171,"2,046","$235,000",$114.86,$123.66,"$253,000",01/30/2024,4,4,78660,Single Family
1,8113439,C,PF,15520 Sutton Leighs Ln,3,2,0,2.0,1,2001,0.1209,"1,616","$398,000",$246.29,$160.89,"$260,000",10/30/2023,48,48,78660,Single Family
1,3364184,C,PF,1615 Harness Race Way,3,2,0,2.0,1,2000,0.1048,"1,377","$294,950",$214.20,$192.45,"$265,000",02/14/2024,37,145,78660,Single Family
1,2937321,C,PF,3408 Bach Dr,4,2,0,2.0,1,2008,0.1073,"1,429","$300,000",$209.94,$185.79,"$265,500",03/15/2024,107,107,78660,Single Family
1,8329718,C,PF,14212 Tea Room Cv,3,2,1,2.0,2,2001,0.2077,"1,422","$285,000",$200.42,$188.12,"$267,500",01/17/2024,36,36,78660,Single Family
1,7278945,C,PF,13702 Lothian Dr,4,2,1,2.0,2,1993,0.0,"2,094","$299,000",$142.79,$128.94,"$270,000",12/01/2023,18,18,78660,Single Family
1,6502450,C,PF,13709 Spring Heath Rd,4,3,0,0.0,2,1998,0.2112,"1,440","$250,000",$173.61,$190.97,"$275,000",12/27/2023,8,8,78660,Single Family
1,7817280,C,PF,13902 Merseyside Dr,3,2,0,2.0,2,1987,0.1079,"1,062","$294,000",$276.84,$258.95,"$275,000",11/09/2023,54,53,78660,Single Family
1,6109631,C,PF,15902 Parkway Dr,3,2,0,2.0,1,1979,0.2169,"1,313","$300,000",$228.48,$213.25,"$280,000",11/02/2023,7,21,78660,Single Family
1,1434797,C,PF,3213 Mildura Cv,4,2,1,2.0,2,2013,0.1511,"2,143","$349,000",$162.86,$130.66,"$280,000",12/29/2023,60,60,78660,Single Family
