"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","6890063","C","PF","1616 Mentone Dr","3","2","1","2.0","2","2000","0.16230","1,380","$305,000","$221.01","$222.46","$307,000","02/08/2024","174","174"
"1","4535154","C","PF","800 Cisco Valley Cv","3","2","1","2.0","2","2005","0.21340","2,136","$319,900","$149.77","$152.15","$325,000","04/05/2024","15","14"
"1","6916721","C","PF","17016 Cranston Dr","3","2","0","2.0","1","1996","0.17420","1,372","$324,999","$236.88","$240.52","$330,000","12/12/2023","33","33"
"1","4254465","C","PF","17601 Van Horn Ct","3","2","0","2.0","1","1999","0.17870","1,381","$345,000","$249.82","$240.41","$332,000","12/15/2023","38","37"
"1","6920287","C","PF","17114 Copperhead Dr","3","2","0","2.0","1","1994","0.17340","1,524","$315,000","$206.69","$219.82","$335,000","11/09/2023","6","112"
"1","1705597","C","PF","17901 Quitman Mountain Way","4","2","0","2.0","1","2003","0.21550","1,826","$359,900","$197.10","$183.46","$335,000","01/10/2024","128","127"
"1","4544171","C","PF","3047 Hill St","3","2","0","2.0","1","2000","0.16500","1,518","$347,000","$228.59","$229.25","$348,000","04/12/2024","136","136"
"1","8999958","C","PF","17104 Jigsaw Pathway","3","2","0","2.0","1","1994","0.13800","1,316","$349,900","$265.88","$265.88","$349,900","10/30/2023","4","4"
"1","1846337","C","PF","504 Dinge Bay","3","2","0","2.0","1","2008","0.21790","2,039","$399,990","$196.17","$188.82","$385,000","03/04/2024","88","87"
"1","9507227","C","PF","3061 Hill St","4","2","1","2.0","2","2000","0.16530","2,648","$386,000","$145.77","$145.77","$386,000","10/20/2023","296","296"
"1","6399096","C","PF","17813 Quitman Mountain Way","4","2","0","2.0","1","1999","0.19760","1,826","$395,000","$216.32","$216.32","$395,000","03/13/2024","90","89"
"1","8490963","C","PF","1622 BENGAL Dr","3","2","0","2.0","1","1992","0.00000","1,958","$405,000","$206.84","$203.78","$399,000","03/22/2024","15","15"
"1","3266703","C","PF","1561 Jerusalem Dr","4","2","0","2.0","1","1997","0.23700","1,999","$400,000","$200.10","$200.10","$400,000","01/12/2024","71","70"
"1","9417789","C","PF","1805 Kafka Cir","4","2","0","2.0","1","2003","0.27540","2,334","$415,000","$177.81","$171.38","$400,000","01/18/2024","163","163"
"1","3921191","C","PF","500 Dinge Bay Dr","4","2","0","2.0","1","2008","0.24470","2,277","$410,000","$180.06","$177.87","$405,000","03/05/2024","5","5"
"1","1051706","C","PF","19920 Cheyenne Valley Dr","4","2","1","2.0","2","2005","0.23420","2,316","$395,000","$170.55","$179.19","$415,000","02/15/2024","5","5"
"1","4777543","C","PF","19921 Needle Pine Dr","4","2","0","2.0","1","2010","0.20670","2,313","$422,119","$182.50","$182.50","$422,120","01/02/2024","24","24"
"1","3698362","C","PF","2201 Luna Azul Vw","3","2","1","2.0","2","2023","0.11200","1,941","$468,990","$241.62","$229.52","$445,500","01/29/2024","258","258"
"1","3415599","C","PF","2804 Bridekirk Dr","4","3","0","2.0","2","2018","0.14900","2,313","$438,000","$189.36","$194.55","$450,000","10/26/2023","8","8"
"1","4728672","C","PF","17403 Emperador Dr","4","3","1","2.0","2","2023","0.05000","1,603","$462,990","$288.83","$286.96","$460,000","11/30/2023","191","191"
"1","2925407","C","PF","2200 Vino Dulce Dr","3","2","1","2.0","2","2023","0.05000","2,069","$470,990","$227.64","$224.26","$464,000","01/05/2024","219","219"
"1","5067847","C","PF","17201 Guana Cay Dr","4","3","0","2.0","2","1999","0.33740","2,385","$475,000","$199.16","$194.97","$465,000","04/03/2024","3","3"
"1","4037292","C","PF","17305 Emperador Dr","3","2","1","2.0","2","2023","0.05000","2,069","$479,990","$231.99","$227.32","$470,333","01/12/2024","98","98"
"1","8953403","C","PF","17307 Emperador Dr","3","3","1","2.0","2","2023","0.11200","2,205","$505,990","$229.47","$219.95","$485,000","11/29/2023","48","48"
"1","4985981","C","PF","801 Cheyenne Valley Cv","3","2","1","2.0","1","2002","0.32350","3,252","$575,000","$176.81","$172.20","$560,000","02/29/2024","17","17"
"1","4395581","C","RRE","407 Bellview Ave","3","1","0","0.0","1","1935","0.25000","1,224","$170,000","$138.89","$138.89","$170,000","01/16/2024","77","76"
"1","7862778","C","RRE","1510 E Main St E","3","2","0","2.0","1","1940","0.22000","981","$200,000","$203.87","$203.87","$200,000","12/01/2023","4","4"
"1","1978535","C","RRE","2000 Magnolia Dr","3","1","0","1.0","1","1982","0.18470","1,158","$250,000","$215.89","$198.27","$229,600","12/22/2023","54","54"
"1","1889301","C","RRE","1805 Southeastern Trl","3","2","1","2.0","2","1992","0.16850","1,759","$294,500","$167.42","$130.76","$230,000","03/25/2024","8","8"
"1","2230551","C","RRE","1808 Prairie Star Ln","3","2","0","2.0","1","1986","0.15400","1,116","$258,000","$231.18","$215.05","$240,000","03/29/2024","16","16"
"1","9412528","C","RRE","1201 Green Valley Cv","4","2","0","0.0","1","1985","0.10930","1,160","$255,000","$219.83","$206.90","$240,000","01/05/2024","69","68"
"1","5512853","C","RRE","2537 Vernell Way","3","2","0","2.0","1","1998","0.16370","1,784","$269,900","$151.29","$137.33","$245,000","10/27/2023","123","123"
"1","5371905","C","RRE","1602 HONEYSUCKLE Ln","3","2","0","2.0","1","1986","0.17000","1,248","$265,000","$212.34","$197.92","$247,000","01/05/2024","4","4"
"1","7713401","C","RRE","2000 Zephyr Ln","3","2","0","2.0","1","1986","0.15120","1,444","$285,000","$197.37","$171.05","$247,000","11/15/2023","5","5"
"1","8164360","C","RRE","504 E Logan St","3","2","0","2.0","1","1988","0.17770","1,294","$289,000","$223.34","$193.20","$250,000","01/05/2024","33","33"
"1","2021795","C","RRE","1101 Greenbriar Loop","2","1","0","1.0","1","1984","0.11350","904","$250,000","$276.55","$276.55","$250,000","12/15/2023","0","0"
"1","6229643","C","RRE","1201 Fairlawn Cv","2","1","0","1.0","1","1984","0.11340","824","$250,000","$303.40","$304.61","$251,000","10/27/2023","0","0"
"1","7714301","C","RRE","2105 PRIMROSE Trl","3","2","0","2.0","1","1986","0.00000","1,274","$274,750","$215.66","$204.08","$260,000","03/20/2024","42","42"
"1","1250824","C","RRE","1200 Green Valley Cv","3","1","0","2.0","1","1985","0.11700","946","$279,000","$294.93","$274.84","$260,000","12/15/2023","418","418"
"1","6997257","C","RRE","1006 Wayne Dr","3","2","0","2.0","1","1978","0.19180","1,536","$295,000","$192.06","$177.73","$273,000","03/27/2024","14","13"
