"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","9494321","C","DT","1212 Guadalupe St Unit #404","1","1","0","1.0","1","1973","0.00320","466","$265,000","$568.67","$532.19","$248,000","12/06/2023","56","56"
"1","7410188","C","DT","800 Brazos St Unit #1110","1","1","0","0.0","1","1949","0.00400","623","$330,000","$529.70","$529.70","$330,000","10/27/2023","2","2"
"1","7832628","C","DT","1101 Shoal Creek Blvd Unit #20","2","1","0","0.0","1","1961","0.03350","826","$369,000","$446.73","$460.05","$380,000","04/02/2024","177","177"
"1","3292395","C","DT","710 Colorado St Unit #9F","1","1","0","1.0","1","1940","0.00000","637","$400,000","$627.94","$618.60","$394,047","02/09/2024","30","29"
"1","2185760","C","DT","40 N Interstate 35 Highway Unit #3C3","2","2","0","2.0","1","1983","0.02320","1,288","$450,000","$349.38","$310.56","$400,000","10/31/2023","125","124"
"1","1453657","C","DT","603 Davis St Unit #1308","1","1","0","1.0","1","2006","0.00300","923","$430,000","$465.87","$442.04","$408,000","10/25/2023","77","77"
"1","2410955","C","DT","1801 Lavaca St Unit #11K","1","1","1","1.0","1","1964","0.00690","1,169","$409,000","$349.87","$354.15","$414,000","01/26/2024","74","74"
"1","5065840","C","DT","1212 Guadalupe St Unit #505","2","2","0","2.0","1","1973","0.00660","954","$425,000","$445.49","$440.25","$420,000","03/22/2024","189","189"
"1","8785707","C","DT","1212 Guadalupe St Unit #1006","1","2","0","2.0","1","1973","0.00660","957","$450,000","$470.22","$459.77","$440,000","10/20/2023","153","153"
"1","5288887","C","DT","44 East Ave Unit #1706","1","1","0","1.0","1","2022","0.00000","538","$474,900","$882.71","$855.02","$460,000","03/01/2024","225","374"
"1","3121105","C","DT","360 Nueces St Unit #1406","1","1","0","1.0","1","2008","0.00230","753","$449,000","$596.28","$629.48","$474,000","02/16/2024","164","164"
"1","4772249","C","DT","1801 Lavaca St Unit #14L","2","2","0","1.0","1","1964","0.00800","1,363","$509,000","$373.44","$349.03","$475,727","02/09/2024","103","102"
"1","5303522","C","DT","360 Nueces St Unit #1212","1","1","0","1.0","1","2008","0.00300","812","$539,500","$664.41","$652.71","$530,000","04/10/2024","17","17"
"1","8406880","C","DT","1812 West Ave Unit #308","2","2","0","2.0","1","2008","0.01100","1,108","$599,000","$540.61","$481.95","$534,000","01/17/2024","160","160"
"1","8171701","C","DT","360 Nueces St Unit #1007","1","1","0","1.0","1","2008","0.00260","852","$575,000","$674.88","$645.54","$550,000","02/16/2024","16","16"
"1","7588222","C","DT","603 Davis St Unit #714","1","1","0","2.0","1","2008","0.00300","1,005","$599,000","$596.02","$551.74","$554,500","12/14/2023","86","86"
"1","5970649","C","DT","48 East Ave Unit #1803","1","1","0","0.0","1","2021","0.00120","641","$580,000","$904.84","$897.04","$575,000","12/15/2023","251","249"
"1","1049342","C","DT","710 Colorado St Unit #8J","2","2","0","1.0","1.5","1940","0.00360","1,287","$599,000","$465.42","$446.78","$575,000","11/10/2023","195","195"
"1","7663423","C","DT","360 Nueces St Unit #1601","1","1","0","1.0","1","2008","0.00200","801","$675,000","$842.70","$722.65","$578,842","01/17/2024","46","253"
"1","3211729","C","DT","48 East Ave Unit #3003","1","1","0","0.0","1","2021","0.00120","641","$649,000","$1,012.48","$951.64","$610,000","10/23/2023","21","21"
"1","6684372","C","DT","222 West Ave Unit #2707","1","1","0","1.0","1","2015","0.00000","685","$599,900","$875.77","$894.16","$612,500","04/11/2024","276","276"
"1","7779767","C","DT","908 Nueces St Unit #26","2","2","0","1.0","1","2017","0.00000","1,167","$625,000","$535.56","$526.99","$615,000","03/28/2024","16","261"
"1","3315746","C","DT","1801 Lavaca St Unit #13G","2","2","0","1.0","1","1964","0.00810","1,377","$625,000","$453.89","$447.71","$616,500","01/05/2024","6","6"
"1","6681529","C","DT","44 East Ave Unit #2103","1","1","0","1.0","1","2022","0.00110","618","$650,000","$1,051.78","$1,003.24","$620,000","11/02/2023","60","60"
"1","5145779","C","DT","501 West Ave Unit #902","1","1","0","1.0","1","2018","0.00120","846","$715,000","$845.15","$780.14","$660,000","10/20/2023","264","261"
"1","5695167","C","DT","1306 West Ave Unit #301","2","2","0","2.0","1","2017","0.03320","1,129","$700,000","$620.02","$606.73","$685,000","03/26/2024","7","7"
"1","8187519","C","DT","360 Nueces St Unit #1405","2","2","0","2.0","1","2008","0.00400","1,225","$729,500","$595.51","$577.31","$707,200","04/11/2024","88","88"
"1","4564668","C","DT","555 E 5th St Unit #2809","2","2","0","2.0","1","2004","0.00330","1,358","$724,999","$533.87","$533.87","$725,000","01/08/2024","86","85"
"1","4452887","C","DT","501 West Ave Unit #1602","1","1","1","1.0","1","2018","0.00000","846","$775,000","$916.08","$862.88","$730,000","11/16/2023","66","66"
"1","4993817","C","DT","360 Nueces St Unit #1111","2","2","0","2.0","1","2008","0.00000","1,221","$715,000","$585.59","$614.25","$750,000","02/29/2024","12","12"
"1","7773104","C","DT","1801 Lavaca St Unit #10E","2","3","0","1.0","1","1964","0.01000","1,702","$899,000","$528.20","$452.41","$770,000","03/07/2024","12","11"
"1","2337561","C","DT","360 Nueces St Unit #1417","2","2","0","2.0","1","2008","0.00300","1,115","$834,000","$747.98","$726.46","$810,000","11/07/2023","81","81"
"1","6170603","C","DT","301 West Ave Unit #3804","1","1","0","1.0","1","2018","0.00000","999","$925,000","$925.93","$900.90","$900,000","02/24/2024","281","281"
"1","6622934","C","DT","301 West Ave Unit #4406","1","1","0","1.0","1","2019","0.00000","794","$949,000","$1,195.21","$1,158.69","$920,000","01/16/2024","18","17"
"1","1166849","C","DT","301 West Ave Unit #4904","1","1","0","2.0","1","2018","0.00350","999","$949,000","$949.95","$920.92","$920,000","03/05/2024","110","109"
"1","5493260","C","DT","222 West Ave Unit #1511","2","2","0","2.0","1","2016","0.00900","1,374","$999,000","$727.07","$691.41","$950,000","01/22/2024","277","277"
"1","9606950","C","DT","44 East Ave Unit #3304","2","2","0","2.0","1","2022","0.00000","1,172","$1,085,000","$925.77","$853.24","$1,000,000","11/17/2023","209","206"
"1","1885902","C","DT","210 Lavaca St Unit #2003","1","1","0","1.0","1","2011","0.00200","1,059","$1,150,000","$1,085.93","$1,085.93","$1,150,000","12/27/2023","27","27"
"1","9784437","C","DT","210 Lavaca St Unit #2711","2","2","1","2.0","1","2011","0.00250","1,423","$1,395,000","$980.32","$825.72","$1,175,000","01/11/2024","110","109"
"1","8551189","C","DT","98 San Jacinto Blvd Unit #2003","1","1","0","2.0","1","2010","0.00560","1,060","$1,285,000","$1,212.26","$1,212.26","$1,285,000","11/30/2023","20","19"
"1","6873497","C","DT","301 West Ave Unit #3206","2","2","0","2.0","1","2018","0.00440","1,263","$1,470,000","$1,163.90","$1,088.68","$1,375,000","11/03/2023","21","21"
"1","1054067","C","DT","222 West Ave Unit #2706","2","2","0","2.0","1","2014","0.00900","1,376","$1,400,000","$1,017.44","$1,002.91","$1,380,000","04/11/2024","4","3"
"1","9270233","C","DT","301 West Ave Unit #3305","2","2","0","2.0","1","2018","0.00000","1,325","$1,500,000","$1,132.08","$1,132.08","$1,500,000","03/04/2024","54","53"
"1","1094280","C","DT","44 East Ave Unit #3902","2","2","0","2.0","1","2022","0.10000","1,411","$1,590,000","$1,126.86","$1,102.06","$1,555,000","04/02/2024","71","71"
"1","5356539","C","DT","44 East Ave Unit #3307","3","3","0","2.0","1","2022","0.00000","1,993","$1,700,000","$852.99","$790.27","$1,575,000","12/04/2023","32","252"
"1","6194904","C","DT","301 West Ave Unit #3001","2","2","0","2.0","1","2018","0.00000","1,474","$1,749,000","$1,186.57","$1,085.48","$1,600,000","10/27/2023","52","56"
"1","2266073","C","DT","44 East Ave Unit #3207","3","3","0","2.0","1","2022","0.00000","1,993","$1,795,000","$900.65","$827.90","$1,650,000","03/15/2024","361","361"
"1","1452977","C","DT","301 West Ave Unit #5103","2","2","0","2.0","1","2018","0.00520","1,474","$1,795,000","$1,217.77","$1,136.36","$1,675,000","03/18/2024","60","134"
"1","3899189","C","DT","44 East Ave Unit #3707","3","3","0","2.0","1","2022","0.00000","1,993","$1,730,000","$868.04","$865.53","$1,725,000","04/05/2024","355","355"
"1","1074179","C","DT","301 West Ave Unit #3201","2","2","0","2.0","1","2018","0.00510","1,474","$1,774,000","$1,203.53","$1,173.68","$1,730,000","02/16/2024","60","60"
"1","3318170","C","DT","70 Rainey St Unit #2704","3","3","0","2.0","1","2018","0.00380","1,743","$1,900,000","$1,090.07","$995.41","$1,735,000","12/29/2023","220","210"
"1","4233333","C","DT","501 West Ave Unit #3504","3","3","0","2.0","1","2018","0.00000","2,009","$1,890,000","$940.77","$868.59","$1,745,000","01/17/2024","84","83"
"1","6522821","C","DT","44 East Ave Unit #4406","3","3","0","2.0","1","2022","0.00000","1,999","$2,000,000","$1,000.50","$900.45","$1,800,000","04/02/2024","8","170"
"1","8027582","C","DT","301 West Ave Unit #2603","3","3","0","2.0","1","2019","0.04210","1,838","$1,999,999","$1,088.14","$989.66","$1,819,000","03/11/2024","70","70"
"1","3706104","C","DT","200 CONGRESS Ave Unit #21E","2","2","0","2.0","1","2008","0.00300","1,918","$1,999,000","$1,042.23","$968.98","$1,858,500","12/15/2023","60","60"
"1","6529340","C","DT","200 Congress Ave Unit #12AC","3","3","0","3.0","1","2008","0.00400","2,689","$2,299,000","$854.96","$736.33","$1,980,000","12/15/2023","292","291"
"1","9587816","C","DT","210 Lavaca St Unit #2201","2","2","1","2.0","1","2011","0.00360","1,953","$2,499,000","$1,279.57","$1,152.07","$2,250,000","02/16/2024","7","43"
"1","9111390","C","DT","222 West Ave Unit #2601","3","3","0","2.0","1","2016","0.00000","2,227","$2,495,000","$1,120.34","$1,032.78","$2,300,000","02/09/2024","199","199"
"1","8572231","C","DT","210 LAVACA Unit #2610","4","4","0","2.0","1","2011","0.14510","2,846","$2,995,000","$1,052.35","$1,001.41","$2,850,000","12/18/2023","12","12"
"1","6197965","C","DT","202 Nueces St Unit #2702","3","3","1","2.0","1","2018","0.00000","2,570","$4,500,000","$1,750.97","$1,750.97","$4,500,000","02/21/2024","73","72"
"1","6921584","C","UT","510 W 18th St Unit #101","1","1","1","2.0","1.5","1980","0.04550","970","$459,900","$474.12","$474.12","$459,900","01/04/2024","147","147"
